issuekey,title,description,storypoint
DURACLOUD-515,make parameters consistent among command line utilities,task make command line options uniform possible among current set command line utilities sync tool retrieval tool chunker stitcher currently several inconsistencies need cleaned use content directory used sync retrieval tools currently stitcher uses chunker uses compound option chunker support storeid chunker use spaceid rather including part chunker use host port rather,2
DURACLOUD-516,service output files use tsv extension texttabseparatedvalues mime type,task update service output files mime type texttabseparatedvalues tsv extension,2
DURACLOUD-517,undeploy service warning,issue address apparent lack okcancel warning undeploying service currently user selects undeploy service simply undeployed without warning notice,1
DURACLOUD-518,service properties blank deploy,issue address situation user deploys service successfully deployed service detail panel goes blank service detail panel show properties newly deployed service,1
DURACLOUD-519,sync tool ensure configuration subsequent runs functionally equivalent attempting restart,sync tool starts compares current configuration previous configuration determine perform restart restart allows sync tool attempt resync files content directory problem check see restart possible synctoolrestartpossible checks list content directories actually compare host spaceid storeid syncdeletes values well values match clean start occur,1
DURACLOUD-520,storageprovider support addcontentwithmetadata,improvement investigate potentially implement update storageprovideraddcontent interface method addition parallel addcontent method optionally takes objectproperties along contentstream example current contentrestaddcontent method performs two calls storageprovider addcontent setcontentproperties number calls made underlying storageprovider could cut half two calls combined amazonsclient interface rackspace filesclient azure iblobcontainer support calls including metadata along call adding content,3
DURACLOUD-521,media streamer set logging level warn,improvement set log level messages mediastreamservice info debug current warn,1
DURACLOUD-522,storeclient encryption support,feature provide means users encryptdecrypt content stored retrieved storeclient storeclient constructor optionally takes symmetric asymmetric encryption key,3
DURACLOUD-523,sdsc storage provider integration,feature integrate sdsc cloud another underlying storageprovider,3
DURACLOUD-525,autouser application,feature provide ability start duracloud instance set list services run set schedule first example autorunscheduled service bitintegrity,4
DURACLOUD-526,copy multiple content item across storage providers,feature expose copycontentacrossstorageproviders functionality within duradmin needs include option multiselect content items copied well selecting single item likely addition existing content copy element interface optionally allow user indicate destination storageprovider,2
DURACLOUD-527,content manifest,feature create maintain manifest spaceid contentid content held primary storage provider listener update manifest whenever content added deleted durastore format manifest compatible expected input format bitintegrity service,3
DURACLOUD-528,migrate scm git,task migrate duracloud scm subversion git,5
DURACLOUD-532,rename spaces,task make possible users rename duracloud spaces order space names need longer directly tied bucketcontainer names underlying storage provider one way name space become property space side benefit able remove many naming limitations currently space names,5
DURACLOUD-533,archiveit integration,feature provide integration archiveit users archiveit content may seamlessly push collection duracloud,5
DURACLOUD-534,provide hierarchical content view,duradmin able graphically display folder file hierarchies similar fashion available local machine currently naming convention indicate hierarchical files folderfolderfolderfilenametxt sufficient user perspective expected interface allow create subfolders spaces within spaces etc map local directories content stored task update display content items user sees commonly expected folder structure allows navigation files look pretty similar display provided content aws console,8
DURACLOUD-537,longrunning content actions,task add support durastore longrunning actions run content examples kinds tasks multifile delete multifile copy within providers multifile property addupdatedelete may make sense implement feature using existing tasks infrastructure,5
DURACLOUD-541,integrate working version cloudsync,task pull updated version cloudsync cloudsyncservice issue able connect duracloud instance,1
DURACLOUD-542,upload tool web deployment,feature establish means deploying uploadtool via duradmin signedapplet webstart app,3
DURACLOUD-544,automatically insert logo xduracloudadmin,duracloud instance deployed automatically include logo xduracloudadmin space logs dont get junked attached possible logo use purpose,1
DURACLOUD-545,implement automated performance testing framework,assemble framework automated performance testing fit duracloud software engineering process framework include tests test data sets implemented incrementally agile fashion primary goal performance testing ensure duracloud meets goals scalability reliability characterizes performance system various load scenarios also primary input bottleneck analysis used improve system performance performance tests often overlap functional tests useful ensuring duracloud functioning documented performance testing also used help size manage operating infrastructure order avoid unnecessary costs costs part information needed set price services,5
DURACLOUD-546,update sync tool take advantage improvements due upload tool,creation upload tool included several backend changes sync tool task make improvements frontend sync tool display progress file transfers printing status allow individual files watched well directories,2
DURACLOUD-547,upload tool applet cannot used time spaces name different providers,using upload tool via duradmin perform upload amazon space test cannot also perform upload space name another provider sent existing upload window,1
DURACLOUD-548,acl create managing acl usersgroups space administration,feature create duradmin managing spacelevel acls likely button righthand pane similar edit button space metadata functionality enable admins addremove users andor groups space acl permissions read write implies read potentially attractive widget would one renders two sidebyside boxes containing usernames arrows allowing moving usernames one box,3
DURACLOUD-549,acl update storeclient setspaceacl,feature add new method storeclient setspaceacl method take spaceid map usernames andor groupnames associated privilege read write set acl given space,3
DURACLOUD-550,acl update durastore security acl rules,feature update durastore spring security definitions limit access defined,2
DURACLOUD-551,space content list reload,please add refresh button space listing well content listing within space currently space reloaded content items added user must either reload entire browser window click space tab renavigate appropriate space see newly added content items,1
DURACLOUD-553,acl update appconfig securityuser bean include group details,update modify appconfig securityuserbean securityusersxsd appropriate support inclusion acl groups instance initialization,1
DURACLOUD-554,acl add aclstorageprovider,feature add new storageprovider wrapper implementation facilitate filtering spaces listed getspaces request primary objectives provide way return spaces either open accessible calling user improve performance request space listing require querying properties space underlying storage provider implementation suggestions storageproviderfactoryimplgetstorageprovider wrap storageprovider new aclstorageprovider aclstorageprovider overwrite getspaces cache spaces space acl properties,2
DURACLOUD-555,acl enable multimap contentspace properties,feature enable multimap header values throughout application content space properties capability enabled entire stack storageproviders rest storeclient duradmin,2
DURACLOUD-557,acl update duradmin exclude tabs user role,update display services tab reports tabs dashboard user logged duradmin roleuser rather users roleadmin able see services reports tabs,1
DURACLOUD-558,acl represent space access openclosed acl,improvement refactor implementation space access spaceaccess property acl property aclgrouppublic addition cleaning specialized logic space access handling space access acl allow single call underlying storage providers made determining access rights spring security instead call space access separate call space acls,4
DURACLOUD-560,uploadtool changes acls upload,bug running uploadtool existing acls space replaced single acl userw,1
DURACLOUD-561,deprecate spaceaccess methods,improvement deprecate setspaceaccess getspaceaccess methods storageprovider contentstore interfaces,1
DURACLOUD-563,provide rest call allow administrators retrieve listing users groups,order able create acl space administrative user needs list users groups access space makes hard theres way via rest api administrator get list users groups available acl created currently knowing fill challenge task add call rest api allows administrators retrieve listing users groups well users parts group,3
DURACLOUD-565,sort permissions display,task sort listing items permissions section content item display duradmin groups displayed users sets sorted alphabetically public group added always displayed top list,1
DURACLOUD-566,handle space properties cache loading instance initialization,currently cache space properties loaded first time user attempts access storage provider user nonadmin user many spaces account action take several minutes task transition loading cache instance first initialized rather waiting user access instance greatly lowering likelihood user wait cache populated,2
DURACLOUD-568,multispace property editing user alerted trying update one readonly spaces,suppose user looking list four spaces suppose write access three currently set editable tags properties gathered selected spaces regardless whether user write access similarly user tries add properties tags selected space read access system wont handle beautifully ideal solution would disallow selection unwritable spaces,2
DURACLOUD-569,create messaging setspaceacls,improvement add messaging durastore calls storageprovidersetspaceacls configuration durastoresrcmainwebappwebinfconfigaopconfigxml new advisor ala spaceupdateadvice needed created well,1
DURACLOUD-570,copying content amazon another provider produces unnecessary properties,performing content copy amazon another provider resulting content item includes duplicate copies default content properties mimetype checksum task filter properties performing copy,2
DURACLOUD-573,add help desk link footer,please add text help desk footer contact link link,1
DURACLOUD-574,remove duradmins dependency space access apis storeclient,remove dependencies space access duradmin use acls instead also necessary make clear user enable public access space public acl set additionally public group highlighted amplify uniqueness,2
DURACLOUD-575,synctool resyncing content deleted duracloud,issue fix bug demonstrated following scenario run synctool pushing one files space observe success delete one content items duracloud newly pushed space rerun synctool observe deleted item reuploaded strategy fix issue introduce new flag instructs sync tool perform clean start rather restart files local directories considered part sync flag would essentially effect clearing work directory prior starting sync tool flag enabled default,1
DURACLOUD-577,init resource available roleuser,item address bug anonymous users inspect durastore duraservice durareport roleuser roleadmin also able make inspection,1
DURACLOUD-578,links djatoka viewer broken duradmin,links djatoka viewer broken duradmin example following url doesnt work one difference urls replace durastore url protocol remove port everything works,1
DURACLOUD-579,content image refresh clicking make space public button,reproduce make sure image service running duradmin browse image content item nonpublic space click make space public button notice image visible also note warning message automatically removed also note making space nonpublic button making public reappear think panel refreshed image immediately available,1
DURACLOUD-581,january completed reports showing duradmin dashboard,reproduce run service completion observe duradmin dashboard well another service run january displayed dashboard,1
DURACLOUD-582,sync tool create file transfer log,task update sync tool creates updates textual transfer log including files added updated duracloud along checksum file would include files successfully transferred duracloud ideally format file would follow format expected bit integrity service fresh transfer full dataset duracloud transfer log could compared space via bit integrity checker service,2
DURACLOUD-583,verify pointing multiple subdomains single instance cause issues,task perform tests duracloud instance multiple subdomains pointed one subdomain used initialize instance others used access apis intended simulate interaction users community cloud ideally coming duracloud different host values show duracloud applications function correctly user always shown host value via note user interaction limited user role actions,1
DURACLOUD-584,ensure client tools continue function across minor outages,task test duracloud client tools primarily sync tool retrieval tool make updates necessary allow tools continue run even duracloud instance becomes unavailable short period time period time tested time required upgrade duracloud instance new version allow duracloud users keep tools running even across upgrade cycle likely strategy transfer fails check see instance available retry wait min try instance becomes available resume file transfers,2
DURACLOUD-585,distinguish servicefailures failedserviceresults nonhadoop services,nonhadoop services operate lists items,2
DURACLOUD-586,editing multiple space properties possible users attempt update read spaces,reproduce problem select writeable spacea readonly spaceb using checkboxes click edit properties add tag name value pair save duradmin displays error dialog unauthorized action error,1
DURACLOUD-587,logged nonadmin multispace delete button visible,reproduce log user select space two using checkboxes spaces list confirm delete button visible,1
DURACLOUD-588,verify sdsc storage provider integration,task ensure sdsc storage provider works expected content stored retrieved everything looks sdsc side tests conducted verify duracloud apis work expected executed sdsc provider tests also conducted verify sdsc provider handle storing retrieving large amounts content task requires continuing conversation sdsc folks well direct testing validation,3
DURACLOUD-589,set expiration policies log spaces,task use amazons management console current duracloud accounts set expiration policy xservicework space remove content items logs prefix days,1
DURACLOUD-590,create test bit ami,task test duracloud software bit instance ensure works properly fix problems discovered create production bit ami part release cycle,2
DURACLOUD-591,various duradmin updates,update following items duradmin remove option add one item change add many items link simply add items update image copy button appear consistent buttons currently appears lower quality content detail panel make content size number understandable least include unit bytes content detail panel set buttons color light gray perhaps,1
DURACLOUD-592,duradmin updates,update following items duradmin change space content space name content name respectively footer every duradmin instance page ensure duracloud capitalized footer every duradmin instance page link duracloudorg come duraspaceorg footer every duradmin instance page replace current help desk link help center link points title every duradmin instance page appears browser tab duracloud login duracloud spaces etc something similar duradmin duradmin login duradmin spaces change duracloud administrator duracloud make dashboard tab available root users,1
DURACLOUD-593,duradmin restrict access administration tab,task limit administration tab duradmin viewable root users,1
DURACLOUD-594,move storage reports onto spaces tab,task break information storage reports display instead main spaces tab spacespecific charts included space detail page providerspecific charts displayed detail area currently shown blank selecting spaces tab toplevel allproviders charts longer displayed providerspecific spacespecific charts still provide option view historical charts data,5
DURACLOUD-598,uploading jpg files hashmark file name mimetype accurately identified,reproduce run bulk uploader duradmin select jpg mark filename testjpg select jpg without mark filename testjpg upload files refresh space duradmin verify mimetype testjpg imagejpeg correct verify testjpg applicationoctetstream less correct,1
DURACLOUD-599,uploading bulk upload tool file jpg hashmark file name mimetype accurately identified,reproduce run bulk uploader duradmin select jpg mark filename testjpg select jpg without mark filename testjpg upload files refresh space duradmin verify mimetype testjpg imagejpeg correct verify testjpg applicationoctetstream less correct,1
DURACLOUD-600,release,task run attached spaceacltool production accounts convert spaceaccess properties space acls note running utility convert mode simply creates acls based spaceaccess property want remove legacy spaceaccess properties utility must run remove mode,1
DURACLOUD-602,copy item dialog validation missing destination space info,reproduce admin remove write access spaces within storageprovidera user login select content item click copy select storageprovidera verify destination space drop empty click verify call made despite invalid data optimal solution add default list item space select select destination space display invalid form message item selected,1
DURACLOUD-603,make image thumbnails duradmin larger improve layout,viewing image public space image server service running make thumbnail larger center layout,1
DURACLOUD-604,provide visual feedback slow loading thumbnails image server,image thumbnails generated fly cached djatoka image server latency thumbnail generation sometimes leave user wondering happened image providing visual cue show something happening albeit slowly would improve experience,1
DURACLOUD-605,retrieval tool space error feedback,improvement add user feedback case spaces retrieved inaccessible space exist user access target space retrievaltool output message follows retrieval tool processing complete final status retrieval tool snapshot status start time current time retrievals process successful retrievals change needed failed retrievals order help user understand retrieval work descriptive status message would helpful,1
DURACLOUD-608,issues prefix refresh,part following steps select space items enter prefix type prefix box hit enter click refresh button content item listing causes series error dialogs pop indicating nullpointerexception duradmin attempting count space size stack trace reported dialog captured attached file part following steps selecting space less items causes space detail area screen blink continually,1
DURACLOUD-611,service report link service details,bug seen running service creates output report bitintegritytools generate integrity details space storage provider primary example run service rackspace space service complete select link service details show results notice report found due missing storeidx param,1
DURACLOUD-612,create storage provider,task create storage provider still testing phase allow test new provider easily determine extent meets expectations duracloud application uses openstack code required implementation minimal,1
DURACLOUD-615,integrate shibbolethbased systems,task make possible duradmin integrate existing shibbolethbased authentication authorization systems needed order satisfy requirements internet dfr see discussions related issue,3
DURACLOUD-616,space content checkboxes hard click,trying select set spaces work often select several spaces accidentally deselect accidentally clicking pixels another checkbox solution add padding checkbox element necessary precise mouse position,1
DURACLOUD-617,eventual consistency secondary storageproviders createspace,improvement increase probability space creation method work secondary providers currently sstorageprovider wait cycle createspace method retries adding spacemetadata file bucket created registered similar wait cycle added createspace method rather appropriate setspaceproperties method rackspacestorageprovider azurestorageprovider,1
DURACLOUD-618,add space dialog,task address following bug selecting add space flyout allows entering new space name hitting enter key instead add button popup following error displayed error space undefined,1
DURACLOUD-619,exception space delete,task fix bug causes exception thrown deleting space either duradmin via rest api storageprovider deleting space duradmin popup following message displayed failed delete space looking tomcat log error also shown using rest api cases however space actually deleted,1
DURACLOUD-620,duplicate change spacelevel,improvement update duplicate change service allow configuration spacelevel namely service able run subset total spaces account would ideal improvement also allowed spaces duponchange configured copy primary secondary providers,5
DURACLOUD-621,display bit integrity results space,services automated users longer required run bit integrity service still need know content verified task include likely space details area indication recent successful bit integrity check run content space event recent bit integrity check resulted error duracloud staff need opportunity investigate issue correct possible issue displayed user may also done automated fashion turns error requires user intervention would nice able indicated way calling specifically files need addressed,2
DURACLOUD-622,refactor rackspacestorageprovider openstackstorageprovider,improvement refactor rackspacestorageprovider openstackstorageprovider since currently three storageproviders expose openstack api rackspacestorageprovider coded openstack api abstracted base class three implementations rackspace sdsc inheriting classes names displayed error logging messages,1
DURACLOUD-624,streaming url spaces streamed media streamer,release added ability users select button space turn media streaming space task ensure streaming url provided media streamer service added metadata space streamed user access,1
DURACLOUD-626,media streamer remove viewer space,since services longer run directly users longer need media streamer service produce contents viewer space generated files used part service provided examples user might integrate media streamer service website task add copy generated files updated generic surrounding instructions duracloud documentation update media streamer service longer generate example files,1
DURACLOUD-627,sync retrieval tool encryption support,encryption support added storeclient sync retrieval tools need updated allow user choose enable content encryption supply necessary encryption key,2
DURACLOUD-628,add userid content messaging,improvement include authenticated userid user performing content actions durastore api least userid needs included ingest event message support dfr object creation service,1
DURACLOUD-629,update media streamer service require sources,task remove requirement media streamer service source space,1
DURACLOUD-630,show content manifest head space detail link full manifest,purpose feature guide user content manifest space well enable peek recent activity peek might equivalent head auditlog,2
DURACLOUD-633,snippet generator streaming content,would nice way generate snippet streaming audiovideo embedded directly page,2
DURACLOUD-634,formatting uploadtool space,display spaces tab causes space named uploadtool formatted incorrectly div iduploadtool created space page happens match css entry uploadtool meant div uploadtooljsp turns several space names cause odd behavior reason spaceslistviewresizer footercontent logods particularly strange looking etc strategy making sure kinds name collisions dont happen attached file shows display reacts uploadtool space,1
DURACLOUD-636,executor client,task create java client similar storeclient serviceclient reportclient simplify interactions executor rest api,1
DURACLOUD-637,add manifest client,task create java client calling manifest rest methods duraboss,1
DURACLOUD-638,consolidate duraboss interfaces,improvement refactor executor manifestgenerator auditor interfaces common project shared duraboss various duraboss clients additionally interfaces implemented utilities well clients,1
DURACLOUD-639,make charts zoomable,space pie charts zoomable displaying larger graph overlay,1
DURACLOUD-640,make spaces pie charts navigable,space slices cross spaces pie charts clickable click user navigate time slice space detail history component,2
DURACLOUD-643,executor media streaming,task implement media streaming handler executor design notes found,3
DURACLOUD-644,executor bit integrity checking,task complete bit integrity handler executor design notes found,10
DURACLOUD-646,create auditor client,task create java client similar storeclient serviceclient executorclient simplify interactions auditor rest api,1
DURACLOUD-647,systemusercredential across webapps,improvement create systemusercredential similar rootusercredential created via default usernamepassword overwritten system properties done duradminexecutorimpljava evaluated exchanging rootuser systemuser,1
DURACLOUD-648,merge commonnotification notification project,task move code currently exists commonnotificaton project notification project update made inject amazonnotificationfactory emailnotifier duraboss dependency notificationamazon required notification project part transition implementation classes pushed package orgduracloudnotificationimpl,1
DURACLOUD-650,newly uploaded content items show clicking space,reproduce open space upload content space click space space list notice newly uploaded content showing,1
DURACLOUD-652,add multiple tags spaces content,possible enter multiple tags tag contain spaces let modify enter list space comma separated words get entered separate tags,1
DURACLOUD-653,tag metadata deletes serialized,tag metadata deletes serialized one deletes multiple tagskey value pairs rapid succession youll notice items deleted reappear upon refresh solution use deferreds serialize calls,2
DURACLOUD-655,deselecting content items selected one cause detail pane show space detail,reproduce select content item using checkbox deselect notice space detail pane displayed,1
DURACLOUD-656,checkbox used select items content items list cleared selecting another space,select space select content items select another space notice select check box still checked,1
DURACLOUD-657,refactor revision necessary resolve primary content store every call get space content detail info,probable solution involve caching primary content store client,1
DURACLOUD-658,manifest empty space,currently new space created call ask manifest made response instead response empty manifest list returned could resolved creating space audit log space creation rather addition first content item,1
DURACLOUD-660,chart labels panel resize,reproduce display space make space detail pane wider note line graph labels skewed,1
DURACLOUD-663,secondary provider audit entry sequencing,issue resolve bug occasionally seen content manifest running duponchange sometimes ingest delete messaging events lose sequence secondary provider create scenario item must already exist space deleted immediately reingested common production scenario attached audit log demonstrates case note actual content primary secondary stores actually secondary store show filetxt manifest spaceid contentid manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd manitest filetxt bacdcbd,2
DURACLOUD-665,exceptions swallowed javascript space retrieval duradmin,see line spacesmanagerjs notice error handled,1
DURACLOUD-666,enable duradmin run separately instance,see attached error appears problem calling remotely duraservice via duradmin,2
DURACLOUD-667,storage pie charts duradminspaces display file size count totals,add,1
DURACLOUD-668,update duraboss securityconfigxml,task update securityconfigxml file duraboss appropriately cover parts duraboss rest api,1
DURACLOUD-669,update new service plans,new set service plans nailed task make updates necessary make new plans available remove unneeded plans,1
DURACLOUD-672,logback memory leak,improvement determine way allow logback duracloud webapps monitor logbackxml updates without requiring application server cycling create memory leaks memory leak seen redeploying duracloud webapps noticing warnings catalinaout old processes destroyed,2
DURACLOUD-673,sdsc primary storage,task determine feasibility using sdsc duracloud primary store beyond function feasibility performance differences sdsc configuration compared standard configuration side note would interesting explore sdscs openness supporting salted serverside checksums,3
DURACLOUD-674,chronopolis rest server client,feature create java client chronopolis rest server details usage chronopolis client found,3
DURACLOUD-675,chronopolis utility integration,feature leverage chronopolis rest client integrate business tier requesting backups chronopolis restores chronpolis notifications errors completions polling inprocess requests,5
DURACLOUD-676,chronopolis updates,feature integrate ability request backups restores tofrom chronopolis duradmin,2
DURACLOUD-678,display blank size property spaces,size property spaces number bytes stored space always available spaces rackspace information provided never available spaces amazon providers task remove size property space display empty,1
DURACLOUD-680,buttons space content detail wrap,currently viewing duradmin small screen window buttons space detail content detail areas unavailable since horizontal scroll bar obvious additional buttons even exist looking attached screen shot obvious view delete buttons show screen task allow buttons wrap remain available even screen size diminishes,1
DURACLOUD-685,label storage graph axes,improvement add labels two yaxes history byte file counts time storage graphs currently exactly clear lefthand yaxis represents cumulative file size righthand yaxis represents cumulative file counts,1
DURACLOUD-686,itemlevel bitintegrity timestamps,improvement record timestamp itemlevel bitintegrity runs would allow providing green bar bitintegrity health item likely timestamp would persisted bitintegrity runs content lineitem servicegenerated report,1
DURACLOUD-688,bagit manifest two spaces,improvement make sure manifestgenerator bagit manifests delimits checksum path two spaces instead current single space character,1
DURACLOUD-689,toplevel default error page,improvement render default error page apache level example display userfriendly page,1
DURACLOUD-694,duracloud doesnt load using opera internet explorer web browsers,accessing duracloud opera doesnt load properly unusable cannot anything browsers provide result heres summary happens visit using opera login works fine presented screen shows spaces content items looks though content disappeared point theres nothing except logout occurs mac osx windows using opera windows using,1
DURACLOUD-695,bulk upload applet doesnt work hangs multiple browsers,last staff retreat know known issue wanted track scenarios ive discovered thus far bulk upload applet responds following ways loaded following environments mac osx firefox initially saw permanent hang kill firefox continue however restarting firefox second attempt loaded almost immediately mac osx chrome temporary hang mins eventually loads properly mac osx safari loads almost immediately windows chrome loads seconds windows firefox applet never seems load always see blank popup window includes duracloud headerfooter update actually issue java plugin disabled see first comment note internet explorer opera also likely tested duracloud issue resolved,1
DURACLOUD-696,pie charts visible history line graph data point click,admin logged looking space detail pie charts display fold order see user scrolls however user clicks line chart data point pie graphs updated user notice visible would much better history line chart would scroll top container line chart clicked,1
DURACLOUD-697,allow admin change custom logo dragging dropping place,current method replacing xduracloudadminlogo user friendly,2
DURACLOUD-698,back forward browser buttons work spaces manager,reproduce click couple spaces uses browser back button notice back expected,1
DURACLOUD-701,space names,currently using either duradmin durastore rest api directly creating space includes behaves unexpectedly example create space named testxspace shows space listing expected click spaces tab turns testxspace likewise creating similarly named space via durastore rest api cases space shows listing well aws console single would appear transformation happening durastore level task allow durastore permit space names,1
DURACLOUD-702,space count causes bit integrity notice removed,spaces large number content items ajax call made perform count items background number updated space properties count continues eventually set indicate final number space successful bit integrity run notice green background displayed space properties link results bit integrity run situations occur large number items successful bit integrity run completion item count causes space properties reloaded removes notice bit integrity run task ensure bit integrity notice persists item count update,1
DURACLOUD-703,delete space button available user,logged user role space delete button availablevisible clicking delete space error popup window appears states space delete failed ideally person logged user role would unable delete space would easy way delete contents stored within space see attached screenshot error popup window,1
DURACLOUD-704,bit integrity tools service create report empty space,currently bit integrity tools service run space content items indicates link report actually generate report task ensure report generated even content items space,1
DURACLOUD-706,remove image preview,currently image preview section displays icon mountains either image server space publicly viewable tends prompt lots user questions around cannot view preview especially issue multitenant accounts user able start image server make space publicly viewable task remove image preview area content item display,1
DURACLOUD-707,secondary storage providers readonly via rest api,synchronization content storage providers becomes automated duracloud becomes unnecessary users edit content secondary provider order maintain assurance content remains consistent providers ability users make changes secondary storage provider removed would still able view download content addupdatedelete operations would allowed task update rest api ensure users role useradminowner write access secondary stores,3
DURACLOUD-708,image content selection,bug seen quickly clicking content items image mimetypes image within duradmin error presented user,1
DURACLOUD-710,space counting issues,item covers two issues space count occurs space properties spaces items count often starts count used consistently start count completes often restarts performs count second time always ending result,1
DURACLOUD-712,synctool better handle periods time duracloud instance unavailable,update sync tool better able handle periods time instance become unavailable particularly important allow synctool continue run normally across duracloud instance upgrades likely strategy transfer fails check see instance available retry wait min try instance becomes available resume file transfers,2
DURACLOUD-714,display content items names include characters,content item name txt exists space selected content detail display moment act spaces tab selected appears hash period characters need content characters added behavior remains,1
DURACLOUD-715,sdsc auth endpoint,improvement switch authurl found sdscstorageprovider,1
DURACLOUD-716,synctool dryrun,improvement create dryrun flag synctool flag would tell synctool steps determining files synced duracloud including deleted modified content instead actually performing sync report produced detailing content would synced,3
DURACLOUD-717,synctool java sslprotocolexception,java following exception thrown trying use synctool standard configuration exception thread main javalangruntimeexception could create connection durastore due error retrieving content stores handshake alert unrecognizedname issue workaround posted,2
DURACLOUD-720,use mnt instances,improvement leverage mnt instances temp files least varlogtomcat link mnt analysis also performed determine home webapps use mnt well,1
DURACLOUD-721,limit tomcat logs,task update log management settings tomcat server duracloud amis settings contained etclogrotatedtomcat log rotation settings updated rotate size perhaps rather date limit number rotations kept perhaps full list options settings found man logrotate,1
DURACLOUD-723,sync retrieval tool metadata support,task update sync tool retrieval tool able handle content tags metadata duracloud space able pulled local file system using retrieval tool pushed back new duracloud space using sync tool without suffering loss metadata,3
DURACLOUD-724,initializing instance use locally stored services working,performing instance initialization pointing local service repo host longer works issue executor duraboss attempts make calls duraservice initialization gets unauthorized error halts initialization process,1
DURACLOUD-725,audit log space delete,issue audit log xduracloudadmin auditstorageauditlogspacetimetsv detect deleted content entire space deleted scenario create space add content space check content manifest curl userpass note manifest written every seconds may need wait content contained manifest delete content item recheck manifest manifest show deleted item delete space check content manifest bug manifest still shows items space prior space deletion,1
DURACLOUD-726,auditor passing tests windows,auditor project produces many errors test failures built using mvn clean install windows due use colon characters created file names date based file path separator issues,1
DURACLOUD-727,auditor log recreation large spaces failing,auditor action recreate audit logs spaces failing run large sets content seen several instances content within space pushes hundreds thousands items one suggest reason behavior thread used create log may run memory exit,2
DURACLOUD-728,move defaultfilter duradmin common,motivation refactoring make aforementioned useful class available web applications dfrsync,1
DURACLOUD-729,double approval content item deletes,user chooses delete content item popup window confirm action reconfirm action indicating secondary copy also deleted action ideally double warning protect accidental deletions content extend sync tool rest api,2
DURACLOUD-730,audit log updated sdsc restore,issue chronopolis restores content sdsc container audit log updated due fact backdooring content ingest bypasses durastore messaging auditor depends,2
DURACLOUD-731,duplicaton demand testing,several runs duplication demand service failed attempting transfer large content set files sdsc chronopolis testing task review failures perform tests determine cause issue,2
DURACLOUD-732,duplicateondemand via inspectorexecutor flow,noted testing described work transferring large numbers files one storage provider another particularly well suited hadoop task create alternative content duplication method requirements follows must able move content provider provider must able deployed onto multiple server instances order share load speed processing may necessary multistep process perhaps something like run process source space number instances used job parameters splits work input file worker node worker node spun initialized proper information work including portion job defined step nodes completed step final process verifies transfer comparing source destination spaces goals work provide method reliably transfer large numbers content files one provider another provide starting point work developing large file processing capability within duracloud rely amazon emr,5
DURACLOUD-733,sync tool cpu utilization,sync tool run tends use large percentage cpu noted saas running sync tool continuously days kept cpu server pegged entire time seems likely high cpu utilization due constant generation checksums file would particular issue file set contains large number small files task investigate reason behind heavy cpu usage ideally fix could also included,2
DURACLOUD-734,sync tool limit local logging,sync tool currently generates three logs completelog duracloudlog synctoollog noted saas customer logs together took unnecessarily large amount hard drive space noted days pushing data logs totaled around clearly much space consumed logs task limit log outputs could include removing completelog well ensuring logs cycled properly consume set amount space,2
DURACLOUD-735,sync tool exclude list,task allow passing list files sync tool ignored performing sync simple case file include one full path file per line file list would pushed duracloud directories list would excluded well along files subdirectories directory complex implementation would allow using wildcards indicate files included capabilities rsync reviewed order determine convenient syntax exclusions,2
DURACLOUD-736,loading throbber disappears content item loaded,huge problem slightly confusing lot latency click space click content item notice loading throbber flashes disappears new content loaded,1
DURACLOUD-737,synctool preserve local file timestamp information,based feedback state north carolina would like sync tool preserve local timestamp information individual files creation modified datestimes would like information passed duracloud via sync tool available viewing within duradmin retrievedrestored properly retrieval tool content downloaded,3
DURACLOUD-738,java support,task transition duracloud built run using java reasons transition oracle announced java hit endoflife nov java available year becoming prevalent java new capabilities one specific need capability nio readwrite file creation modification access timestamps need support customer use java clientside tools sync tool,3
DURACLOUD-739,timestamp collection utility,task create utility loop set directories capture timestamp information creation date modified date access date included files timestamp info written file archived locally well written metadata filess corresponding duracloud content item expectation sync tool already done work moving file duracloud capability capture time stamp information added nio package java thus utility need built run using java task direct response needs expressed state north carolina archives libraries everyone offices uses windows either utility needs tested windows,2
DURACLOUD-741,bit integrity comparison reports incorrect header,reports generated bit integrity checker bit integrity bulk incorrect headers header value spaceid contentid something like spaceid contentid mdfile mdprovider comparisonresult,1
DURACLOUD-742,number items displayed count always updated properly,showing text top content item pane space selected always correct examples select space notice text top content list showing switch storage provider notice text cleared select space notice showing text select several content items delete notice showing numbers dont change,2
DURACLOUD-743,sync tool clean log output,sync tool currently logs variety errors running normally many log statements calls determine file currently exists duracloud attached file includes errors showing log provided users utk task clean logging outputs actual errors logged,1
DURACLOUD-745,durastore skip sending event messages content administrative spaces,event occurs durastore spacecontent addedupdateddeleted message sent task update mechanism skip sending messages administrative spaces duracloud xduracloudadmin xserviceout xservicework currently need updates administrative files dealing messages generated admin file updates wastes effort,1
