,issuekey,title,description,storypoint
962,TIMOB-18535,tooling cli scans module folders modules declared tiappxml,expected tooling efficiently builds skipping process required happens tooling scan default module storage location even modules declared tiappxml reproduce create empty project build device see tooling inventories installed modules even though none tiappxml,8
963,TIMOB-18538,cli fix incompatibilities node,node released titanium cli compatible code setup usrlocallibnodemodulestitaniumnodemoduleslongjohndistlongjohnjs throw childprocessemit eventsjsmaybeclose childprocessjssocketanonymous childprocessjssocketemit eventsjspipeclose netjs code test install node use node version manager like set current version run command setup check info perhaps related async processing spawning child processes enter setup choose option type fails choose option fails choose third time works get setup check info however doesnt detect jdk therefore android sdk info,8
964,TIMOB-18543,docgen inherits platforms incorrectly,generating documentation using append argument methods properties generated incorrectly due inheritance running command generating titanium windows yaml code node docgen titaniummobilewindowsapidoctitanium code produces following output due docgen inheriting titaniumuiview incorrectly code name titaniumuiview platforms windowsphone code,5
965,TIMOB-18744,touchenabled true default,documentation says default value touchenabled must true untrue codetitleindexxmlborderstylesolidxml alloy window layoutvertical backgroundcolorffffff color button onclickdoclickim button click mebutton label onclickdoclickim label click melabel view onclickdoclick heighttiuisizelabelim view click melabelview window alloy code codetitleindexjsborderstylesolidjavascript function doclicke alerttouchenabled typeofesourcetouchenabled indexopen code,2
966,TIMOB-18546,liveview incompatible node,fixes timob applied apps still build build command ends error code info skipping xcodebuild info finished building application usersadminrepostitaniumskypanthernodemoduleslongjohndistlongjohnjs throw socketsocketerrorlistener eventsjsnetjsprocesstickcallback nodejs code removing liveview hook titaniumconfigjson file eliminates error apps build fine indicating liveview source error,5
967,TIMOB-18550,set node minimum supported version across clirelated projects,update various products specify node minimum supported version removing references checks earlier node versions projects include cli sdk alloy liveview nodeappc nodeiosdevice etc,13
968,TIMOB-18551,sdk set node minimum supported version,update minimum supported version node make sure check update version checks code well updating packagejson file,5
969,TIMOB-18552,nodeappc set node minimum supported version,update minimum supported version node make sure check update version checks code well updating packagejson file,5
970,TIMOB-18553,liveview set node minimum supported version,update minimum supported version node make sure check update version checks code well updating packagejson file,5
971,TIMOB-18555,cli add mocha tests verify installed sdks,adding unit tests cli verify installed sdks detection mechanism install mock couple sdks temp location set temp location one location sdks cli detect new sdks new temp location valid one remove temp sdks cli detect change also add unit tests verify whether cli able sort sdks correct order,5
972,TIMOB-18556,android update appcompat libraries,update appcompat libraries,3
973,TIMOB-18557,windows build fails cmakeerror configuring incomplete errors occurred,hdescription building using sdk version build fails cmakeerror configuring incomplete errors occurred code warn cmake error cmakeliststxt findpackage providing findsqlitecmake cmakemodulepath project asked cmake find package configuration file provided sqlite cmake find one could find package configuration file provided sqlite following names sqliteconfigcmake sqliteconfigcmake add installation prefix sqlite cmakeprefixpath set sqlitedir directory containing one files sqlite provides separate development package sdk sure installed info configuring incomplete errors occurred see also cuserswindoappdatalocaltemptestcommunitywparmcmakefilescmakeoutputlog code attached build log cmake log step back sdk project builds fine build using sdk fails hsteps reproduce ensure titanium sdk master branch download latest sdk using sdk install master create new windows project build project hactual result build fail cmakeerror hexpected result build pass deploy device emulator,2
974,TIMOB-18565,android support android aar libraries building module,nice support android aar libraries building module,8
975,TIMOB-18559,ios typeerror arguments pathjoin must strings,regression packaging ios see error xcode still opened archivepackage still created however code info archiving debug symbols usersewieberlibrarydeveloperxcodearchivesuniversaliconsplashxcarchivedsymsuniversaliconsplashappdsym info launching xcode applicationsxcodeapp usrlocallibnodemodulestitaniumnodemoduleslongjohndistlongjohnjs throw typeerror arguments pathjoin must strings pathjs arrayfilter native exportsjoin pathjs libraryapplication supporttitaniummobilesdkosxviphoneclihookspackagejs exithandler childprocessjs eventemitteremit eventsjs maybeclose childprocessjs socketanonymous childprocessjs exportsexecfile childprocessjs exportsexec childprocessjs libraryapplication supporttitaniummobilesdkosxviphoneclihookspackagejs libraryapplication supporttitaniummobilesdkosxvnodemodulesasynclibasyncjs libraryapplication supporttitaniummobilesdkosxvnodemodulesasynclibasyncjs libraryapplication supporttitaniummobilesdkosxvnodemodulesasynclibasyncjs libraryapplication supporttitaniummobilesdkosxvnodemodulesasynclibasyncjs libraryapplication supporttitaniummobilesdkosxvnodemodulesasynclibasyncjs code steps reproduce issue create new project sdk package project ios either adhoc store notice error console expected results error shown notes regression see error get error xcode well,3
976,TIMOB-18562,windows database module doesnt properly clean resultsets guard accessing fields closed,need better job finalizing result sets user destructors need check status closing ensure really closing result set closed user calls field fieldbyname cause crash dont guard accessing finalized prepared statement,5
977,TIMOB-18571,ios investigate including native extensions titanium project,investigate injecting native extensions titanium app build time,21
978,TIMOB-18573,cli build tools newer supported range warn build rather fail,timob added ability specify specific android build tools level well failing tools newer knownsupported version instead tooling clearly warn user theyre using newer version known work build continue,8
979,TIMOB-18581,windows implement crossplatform mapping status codes status text,currently implement windows subclass really standard mapping integer http codes text describing code see,2
980,TIMOB-18588,cli remove titanium cli,,5
981,TIMOB-18589,blackberry remove sdk distribution,remove packaging blackberry distribution regular sdk,3
982,TIMOB-18594,cannot build upgrade,problem description whenever user attempts build project upgrading titanium receive error message however still build code cuserspkulkarniappdataroamingnpmnodemodulestitaniumnodemoduleslongjohndistlongjohnjs throw childprocessemit eventsjsmaybeclose childprocessjssocketanonymous childprocessjssocketemit eventsjspipeclose netjs error application installer abnormal process termination process exit value code attempted reinstalling sdk command returns response titanium build mobileweb sdk loglevel trace,3
983,TIMOB-18599,windows stub remaining properties methods existing proxies corporate directory app,corporate directory app uses opacity animate series images imageview generate loading animation least stub properties methods dont crash theyre referenced,5
984,TIMOB-18600,liveview building android emulator fails liveview file server unavailable host unreachable,hdescription attempting build android emulator build fails code error tiexceptionhandler main titanium javascript runtime error error tiexceptionhandler main appjs error tiexceptionhandler main message uncaught error liveview file server unavailable host unreachable error tiexceptionhandler liveview please ensure device computer network port blocked code believe regression reported previous versions liveview workaround disable liveview build fine building device liveview works fine able make changes errors checking log output shows liveview server started code liveview version liveview file server started port liveview alloy project monitor started liveview event server started port code issue reliant node version occurs node well hsteps reproduce build android emulator studio liveview enabled hactual result build fails error hexpected result build fail liveview working expected,8
985,TIMOB-18601,cli sdk install latest installs different version sdk install latest,commands equivalent sdk install latest sdk install latest sdk install branch latest tests however sdk install latest installs sdk install latest installs,5
986,TIMOB-18782,title text truncated optiondialog android,long title text optiondialog truncated android shown full ios code replicate issue found following gist,8
987,TIMOB-18607,windows convert current corporate directory app example,version currently examples folder date well need rebuild alloy windows update example generated files,3
988,TIMOB-18608,android add link event label use html attributedstring properties,sample code details please look,5
989,TIMOB-18609,android number log messages closing window increases every time window closed,hdescription building application device opening closing window message window window closed normally window opened closed multiple times messaged printed equal number times opened closed regression occurs sdk logging appears coming line androidmodulesuisrcjswindowjs app packaged installed onto device code line executed statement trigger example see log output opened closed window times code debug window checkpoint postwindowcreated debug window window closed normally debug window checkpoint postwindowcreated debug window window closed normally debug window window closed normally debug window checkpoint postwindowcreated debug window window closed normally debug window window closed normally debug window window closed normally code hsteps reproduce add attached appjs existing project build app android device tap button open window use android back button close window button screen repeat steps hactual result window close debug window window closed normally printed console expected time repeat steps number log message increase hexpected result one log messages shown window closed,8
990,TIMOB-18617,ios debugger studio hangs sdk xxx,debugging app titanium master sdk xxx work studio app never launches,8
991,TIMOB-18619,windows implement simple linear animations,,13
992,TIMOB-18622,tooling organize parity report platforms,reorganize ordering platforms displayed parity report iphone ipad android windowsphone blackberry mobileweb,3
993,TIMOB-18625,android remove fix warnings titanium sdk,number warnings titanium sdk variety issues including deprecation warnings issues raw types etc correct import titanium sdk android projects eclipse warnings errors appear,3
994,TIMOB-18627,ios allow different deployment targets extensions,currently deployment target set app also used building extensions removed deployment target set extensions xcode project,1
995,TIMOB-18629,cli warn using unsupported node version,currently upgrade node attempt build pre sdk fail expected confusing end user fix warn user downgrade upgrade supported node version check root packageson file node range supported compare node version installed installed range lies outside supported range print highly visible warning node version may work expected encourage upgrade older downgrade newer supported node version,8
996,TIMOB-18630,ios allow relative paths pointing extension project,currently projectpath extensions accept relative paths add support,5
997,TIMOB-18632,cli node cli updated sdk updated cant install new sdk,hdescription upgrading latest versions cli sdk install process user studio first install cli install sdk system user unable upgrade sdk without first reverting back previous version cli installing titaniumrc attempting run commands following printed console code ewansmacbookprotitanium eharris sdk titanium commandline interface cli version copyright appcelerator inc rights reserved please report bugs error titanium sdk incompatible nodejs need install nodejs order use version titanium sdk code notes occurs upgrade process install cli install sdk occurs node version also possible get state installing sdk cli running sdk select user gets state impossible get without reinstall cli hsteps reproduce set sdk select sdk select install latest titanium cli sudo npm install titaniumrc install latest sdk sdk install hactual result unable install sdk command fail error hexpected result sdk installed successfully error,5
998,TIMOB-18633,ios allow launching watchkit apps simulator,iossim needs updated allow launching watchkit apps simulator,13
999,TIMOB-18635,android android sdk tools listed supported,hdescription running setup check android environmenttools android sdk tools version installed system listed untested version may may work version tested issues found vendordependencies updated reflect hsteps reproduce ensure android sdk tools system install via android sdk manager run setup check hactual result android environment sdk tools version listed unsupported hexpected result android environment sdk tools version listed supported,3
1000,TIMOB-18637,windows initial map region isnt always obeyed,seeing initial location somewhere south pacific ocean middle water following code example codejavascript var map requiretimap var win titaniumuicreatewindow backgroundcolor red var mountainview mapcreateannotation latitude longitude titleappcelerator headquarters subtitlemountain view pincolormapannotationred myid custom property uniquely identify annotation var mapview mapcreateview maptype mapnormaltype region latitude longitude latitudedelta longitudedelta animatetrue regionfittrue userlocationtrue annotationsmountainview winaddmapview winopen code sure trying set region early using wrong coordinates,5
1001,TIMOB-18638,windows map annotations dont always show map,according windows docs mapicons arent guaranteed shown titles also currently ignore annotation color property may want consider using imageview actual control instead mapicon try ensure always shown see,8
1002,TIMOB-18639,windows launching app emulator flaky,building windows app via cli sometimes launches fine first try often crash showing splash screen need click emulator try relaunch take several attempts actually get launched,5
1003,TIMOB-18899,ios support destructive alert style,new ios uialertviewcontroller supports destructive tiuialertdialog style specified like cancel property code var win tiuicreatewindow backgroundcolor fff var button tiuicreatebutton title show destructive dialog var dialog tiuicreatealertdialog title proceed message really want proceed destructive cancel buttonnames destructive cancel proceed buttonaddeventlistenerclick function dialogshow dialogaddeventlistenerclick functione tiapiinfoe winaddbutton winopen code pullrequest,5
1004,TIMOB-18668,windows jsexport api createobjectt removed,currently hal multiple ways create jsexport object basically following two apis meant thing code auto object jscontextcreateobjectwidget auto object jscontextcreateobjectjsexportwidgetclass code found theres reason keep first one actually issue around timob,8
1005,TIMOB-18669,windows images listview laying improperly,corporate directory apps directory view listing sales engineers profile pic entry images misaligned,5
1006,TIMOB-18670,windows module generator doesnt generate setters properties,module generator generating setter methods properties codecpp virtual void setcolorconst stdstring color titaniumnoexcept code,2
1007,TIMOB-18671,windows module generator using wrong name format getters,module generator generating correct name pattern property getters color incorrect getcolor correct equivalent bridge methods,1
1008,TIMOB-18672,windows module generator using jsvalue return type methods whose return type void,method returns void according docs declare method void well returning jsvalue,1
1009,TIMOB-18673,windows cli assume default emulator targeting emulator,cli prompts user select emulator default assume default appdeploy cmd uses equivalent without prompting,1
1010,TIMOB-18674,windows analytics crashing second invocation sendanalytics method,running corporate directory app cli app reliably crashes tries send appfeature event sent enroll event heres output logs launch code info connected app start application log info creating instance analytics class info checking database exists info databaseexists info creating database info createdatabase info sendappenrollevent info createappenrollevent info createanalyticsevent info postanalyticsevent info needsenrollevent info getprops info addevent info getprops info sequence info inserting typetienrolltimestamptzm idsidddcbdecfdacafdappguidguidpayl oadappnamenameoscpuplatformwindowsappid idostypexosarchxmodelmicrosoft virtual deploytypedevelopmentappversionversiontzos windowsphoneosversdkvertitaniumversionnett ypelanexpandpayloadtrue info updateprops info sendanalytics info updateprops info featureevent info createevent info createanalyticsevent info postanalyticsevent info addevent info getprops info sequence info inserting typeappfeaturetimestamptz midsidddcbdecfdacafdappguidguidpa yloadeventnamewindowsdirectoryviewedexpandpayloadtrue info updateprops info sendanalytics info disconnected app end application log code,8
1011,TIMOB-18675,kitchensink ios camera overlay throws warning,tests camera overlay throw warning open code warn unbalanced calls beginend appearance transitions tiviewcontroller xedd code steps reproduce issue launch open phone camera section open following sections camera custom overlay camera overlay webview camera augmented reality notice warning console expected results warning shown,3
1012,TIMOB-18676,kitchensink ios tigeolocation throws deprecation warning test,opening test augmented reality throws warning code warn tigeolocationpurpose property deprecated ios include nslocationusagedescription key infoplist code steps reproduce issue launch navigate phone camera camera augmented reality notice warning console expected results warning shown,3
1013,TIMOB-18677,windows loading animations corporate directory dont play nicely,opening rocket animations corporate directory app dont play nicely,13
1014,TIMOB-18678,windows hal crashes syntax method invocation,timapcreateview call crashing odd way inside hal profilejs controller youve clicked person directory listing try corporate example click person see crash root cause following syntax codejavascript viewsmapview requiretimapcreateview tiuicreateview code changing straight createview call doesnt trigger issue codejavascript viewsmapview requiretimapcreateview code,8
1015,TIMOB-18679,ios timeout post request server,working titanium classic mobile project needs get data soap services hosted server using suds library helper construct xml request project working fine sdk need update apple restriction basically need compile sdk sdk responds timeout error looks like request never leaves client problem pointed issue added comment aware vishal duggal comment post mentioning stuff changed think reason ticket closed sending get request comment apply case order reproduce problem recommend use sdk show code working fine switch show issue follow steps reproduce problem create new titanium classic project targeting ios sdk create new file resources directory name sudsjs paste following code taken source mentioned codetitleresourcessudsjsborderstylesolid jslint maxerr sud forked kevin whinnerys sudsjs project updates suds found suds lightweight javascript soap client copyright kevin whinnery license source var sudsclient functionoptions generic extend function thanks mootools function extendoriginal extended var key extended originalhasownpropertykey originalkey extendedkey return original function endwithstrsuffix str str var lastindex strlastindexofsuffix return lastindex lastindex suffixlength strlength check object array function isarrayobj return objectprototypetostringcallobj object array grab xml object function getxhr return titaniumnetworkcreate validatessecurecertificate false timeout parse string create xml dom object function xmldomfromstringxml var xmldoc titaniumxmlparsestringxml return xmldoc convert javascript object xml string takes either function converttoxmlobj namespaceprefix var xml isarrayobj var objlength xml converttoxmlobji namespaceprefix else assuming either array object graph var key obj namespaceprefix namespaceprefixlength xml namespaceprefix key else xml key isarrayobjkey typeof objkey object objkey null xml converttoxmlobjkey else xml objkey namespaceprefix namespaceprefixlength xml namespaceprefix key else xml key return xml client configuration var config extend endpoint targetnamespace envelopebegin xml version encodingutfsoapenvelope xmlnsnsplaceholder xmlnsxsi xmlnsxsd xmlnssoap envelopeend soapbodysoapenvelope headerbegin soapheader headernodehead headerend soapheader timeout includens true addtargetschema false nsns options function wrapnsnsonly ifconfigincludens return nsonly configns configns else return function addtargetschema ifconfigaddtargetschema var temp configtargetnamespace ifendwithconfigtargetnamespace temp tempsubstrtemplength return xmlns temp else return invoke web service thisinvoke functionsoapactionbodycallbackheadercallbackerror build request body var body body var header header allow straight string input xml body build object typeof body string body wrapnsfalse soapaction addtargetschema body converttoxmlbody wrapnstrue body wrapnsfalse soapaction var ebegin configenvelopebegin configenvelopebegin ebeginreplaceplaceholder configtargetnamespace build soapaction header trailing slash namespace need splice one soap action var soapaction configtargetnamespacelastindexof configtargetnamespacelength soapaction configtargetnamespacesoapaction else soapaction configtargetnamespacesoapaction post xml document service endpoint var xhr getxhr xhronload function callbackcallthis thisresponsetext xhronerror functione callbackerrorcallthis tiapiinfoerror jsonstringifye xhrsettimeoutconfigtimeout var sendxml ifheader sendxml configenvelopebeginconfigbodybeginbodyconfigenvelopeend else allow straight string input xml body build object typeof header string header soapaction xmlnsconfigtargetnamespace header converttoxmlheader header soapaction sendxml configenvelopebeginconfigheaderbeginheaderconfigheaderendconfigbodybeginbodyconfigenvelopeend xhropenpost configendpoint xhrsetrequestheadercontenttype textxml xhrsetrequestheadersoapaction soapaction configauthorization undefined xhrsetrequestheaderauthorization basic configauthorization tiapiinfoendpoit configendpoint xhrsendconfigenvelopebeginbodyconfigenvelopeend moduleexports sudsclient code add code appjs file codetitleresourcesappjsborderstylesolid var win tiuicreatewindow backgroundcolor white var label tiuicreatelabel var config endpoint targetnamespace includens false addtargetschema true var sudsmodule requiresuds var sudsclient new sudsmoduleconfig sudsclientinvokelogoff strclaveusu functionxmldoc tiapiinforesponse xmldoc labeltext xmldoc return winaddlabel winopen code run project able see response xml label added window showing code working reproduce timeout error change sdk newer one lets say run project see error console codejavascript typeerrorsourceurl request timed outsuccessfalse code created question problem forum finished resources looking answer attached project resources described please consider take look know soap xml sucks fault clients infrastructure built thank time,8
1016,TIMOB-18682,windows listview header grouping isnt working,listview implementation isnt respecting grouping people first character last name showing headersee screenshots ios version looks like,13
1017,TIMOB-18683,parity report ignore platform specific apis total api count,dont include platform specific apis total api count platform percentage,2
1018,TIMOB-18698,windows fix mocha test failures xml module,right see failures code titaniumxmlxmlnodelistchildren titaniumxmlxmlnodelistelementsbytagname titaniumxmlapixmlnodereplacechild titaniumxmlapixmlnoderemovechild titaniumxmlapixmlnodenormalize titaniumxmlapixmlnodeinsertbefore titaniumxmlapixmlnodehaschildnodes titaniumxmlapixmlnodehasattributes titaniumxmlapixmlnodeclonenode titaniumxmlapixmlnodeappendchild titaniumxmlapixmldocumentimportnode titaniumxmlapixmldocumentgetelementsbytagnamens titaniumxmlapixmldocumentgetelementsbytagname titaniumxmlapixmldocumentgetelementbyid titaniumxmlxmlserialize titaniumxmlxmlcdataandentities titaniumxmlxmlnodecount titaniumxmlxmlnodes titaniumxmlsoap titaniumxmldocumentparsing code,13
1019,TIMOB-18699,windows fix mocha test failures filesystem module,right see failures code titaniumfilesystemcreatetempfile titaniumfilesystemcreatetempdirectory titaniumfilesystemfilecopymove titaniumfilesystemfilecopy titaniumfilesystemfileread titaniumfilesystemfilecreatefileanddeletefile titaniumfilesystemfilecreateanddeletedirectory titaniumfilesystemfilemodificationtimestamp titaniumfilesystemfilecreatetimestamp code,8
1020,TIMOB-18700,windows fix mocha test failures layoutengine,right see failures code titaniumuilayoutscrollviewwithlargeverticallayoutchild titaniumuilayoutscrollviewwithsize titaniumuilayoutsystemmeasurement titaniumuilayoutsizefillconflict titaniumuilayoutfillinverticallayout titaniumuilayoutzindexmultiple titaniumuilayouttopprecedence titaniumuilayoutheightprecedence titaniumuilayoutleftprecedence titaniumuilayoutwidthprecedence titaniumuilayoutundefinedbottom titaniumuilayoutundefinedheight titaniumuilayoutundefinedright titaniumuilayoutundefinedcenter titaniumuilayoutundefinedleft titaniumuilayoutundefinedwidth titaniumuilayoutviewerror titaniumuilayoutviewwidth titaniumuilayoutviewcenter titaniumuilayoutviewtop titaniumuilayoutviewleft titaniumuilayoutviewsizeandrectpx code,13
1021,TIMOB-18704,windows support custom fonts,corporate directory uses custom font packaged app need able support loading custom font per,8
1022,TIMOB-18707,windows support tiuiview border properties,looks like simplest way achieve stuff add components underneath border,8
1023,TIMOB-18711,cli modify authentication analytics titanium cli,order aid integration new methods authentication use appcelerator cli changes need made analytics authentication titanium cli pass token process environment titanium select fixed user pem handle analytics pass new endpoint return bucket url future modification registry url stub login logout make ops,5
1024,TIMOB-18712,facebook module upgrade ios facebook sdk improve requestdialog,request github expose resulturl presentrequestdialog method also upgrade facebook sdk ios module code var requirefacebook var win tiuicreatewindow title requestdialog backgroundcolorfff fullscreen false var requestdialog tiuicreatebutton title request dialog top left right height requestdialogaddeventlistenerclick function fbpresentsendrequestdialog message data badgeofawesomeness socialkarma fbaddeventlistenerrequestdialogcompleted functione esuccess alertrequest dialog completed returned url eresulturl else ecancelled alertrequest dialog cancelled else alerterror eerror winaddrequestdialog winopen code,5
1025,TIMOB-18713,kitchensink upgrade facebook module example,facebook module upgraded need addreplace facebook module kitchen sink well examples,3
1026,TIMOB-18887,android wrong implementation tiresponsecache may cause occasional crashes lollipop,getting occasional crashes titanium module downloading files using lollipop device tracing okhttp http client used android posted bug report see bug okhttp dont handle null pointer correctly returned ticacheresponsegetheaders null keys value fact shouldnt return null first place comes way cached headers multimap assumes status null key position see full explanation cause see partial stack dump problem quote attempt invoke virtual method boolean javalangstringstartswithjavalangstring null object reference javalangnullpointerexception attempt invoke virtual method boolean javalangstringstartswithjavalangstring null object reference comandroidok comandroidok comandroidok comandroidok comandroidok comandroidok comandroidok comandroidok comandroidok comandroidok quote,5
1027,TIMOB-18715,cli build errors sdk version tiappxml sdk selected cli different,hsteps reproduce make sure sdk version tiappxml sdk selected cli different try build app hactual result build errors forking correct sdk command code lokeshsmacbookpromapvmoduletest lokeshchoudhary build android emulator titanium commandline interface cli version alpha titanium sdk version copyright appcelerator inc rights reserved please report bugs warn warn android build tools new may may work titanium warn encounter problems select supported version warn config androidbuildtoolsselectedversion warn version userslokeshchoudharydesktopandroidsdkmacosxbuildtools info tiappxml sdkversion set current titanium sdk set info forking correct sdk command usrlocalbinnode usrlocalbinti build sdk configfile userslokeshchoudharytitaniumconfigjson platform android projectdir userslokeshchoudharydesktopworkspacesnewworkspacemapvmoduletest loglevel trace androidsdk userslokeshchoudharydesktopandroidsdkmacosx target emulator error error code hexpected result build fail app build successfully,3
1028,TIMOB-18719,windows implement tigeolocation geocoding methods,note method returns specialized object argument callback function well need wrap struct fontpointdimension additionally reversegeocoder response object specialized property value also struct methods forwardgeocoder reversegeocoder code forwardgeocoder address callback void resolves address location parameters address string optional address resolve callback callbackforwardgeocoderesponse optional function invoke success failure returns void reversegeocoder latitude longitude callback void tries resolve location address callback receives reversegeocoderesponse object request successful object includes one addresses possible matches requested coordinates parameters latitude number optional latitude search specified decimal degrees longitude number optional longitude search specified decimal degrees callback callbackreversegeocoderesponse optional function invoke success failure returns void code,5
1029,TIMOB-18720,windows generate tigeolocation module stub,involves using module generator stubbing full api module methods properties set titaniumkit appropriate getterssetters stubs fill windows subclass actual implementation constants accuracybest accuracybestfornavigation accuracyhigh accuracyhundredmeters accuracykilometer accuracylow accuracynearesttenmeters accuracythreekilometers activitytypeautomotivenavigation activitytypefitness activitytypeother activitytypeothernavigation authorizationalways authorizationauthorized authorizationdenied authorizationrestricted authorizationunknown authorizationwheninuse errordenied errorheadingfailure errorlocationunknown errornetwork errorregionmonitoringdelayed errorregionmonitoringdenied errorregionmonitoringfailure errortimeout providergps providernetwork providerpassive properties accuracy activitytype distancefilter hascompass headingfilter lastgeolocation locationservicesauthorization locationservicesenabled pauselocationupdateautomatically purpose showcalibration tracksignificantlocationchange methods forwardgeocoder getaccuracy getactivitytype getcurrentheading getcurrentposition getdistancefilter gethascompass getheadingfilter getlastgeolocation getlocationservicesauthorization getlocationservicesenabled getpauselocationupdateautomatically getpurpose getshowcalibration gettracksignificantlocationchange reversegeocoder setaccuracy setactivitytype setdistancefilter setheadingfilter setlocationservicesauthorization setpauselocationupdateautomatically setpurpose setshowcalibration settracksignificantlocationchange events authorization calibration heading location locationupdatepaused locationupdateresumed,5
1030,TIMOB-18721,windows hook tigeolocation events,ticket fire relevant events applicable module events authorization calibration heading location locationupdatepaused locationupdateresumed,5
1031,TIMOB-18722,windows implement tigeolocation constants properties accessor methods,ensure proper settersgetters set titaniumkit likely already done stub generation hook relevant properties windows subclass typically overriding setters take action constants accuracybest accuracybestfornavigation accuracyhigh accuracyhundredmeters accuracykilometer accuracylow accuracynearesttenmeters accuracythreekilometers activitytypeautomotivenavigation activitytypefitness activitytypeother activitytypeothernavigation authorizationalways authorizationauthorized authorizationdenied authorizationrestricted authorizationunknown authorizationwheninuse errordenied errorheadingfailure errorlocationunknown errornetwork errorregionmonitoringdelayed errorregionmonitoringdenied errorregionmonitoringfailure errortimeout providergps providernetwork providerpassive properties accuracy activitytype distancefilter hascompass headingfilter lastgeolocation locationservicesauthorization locationservicesenabled pauselocationupdateautomatically purpose showcalibration tracksignificantlocationchange methods getaccuracy getactivitytype getdistancefilter gethascompass getheadingfilter getlastgeolocation getlocationservicesauthorization getlocationservicesenabled getpauselocationupdateautomatically getpurpose getshowcalibration gettracksignificantlocationchange setaccuracy setactivitytype setdistancefilter setheadingfilter setlocationservicesauthorization setpauselocationupdateautomatically setpurpose setshowcalibration settracksignificantlocationchange,5
1032,TIMOB-18723,windows implement tigeolocation getcurrentheading getcurrentposition methods,methods getcurrentheading getcurrentposition note responses use special objects use structs hold like pointdimensionfontetc additionally objects hold specialized properties also represented structs code getcurrentheading callback void retrieves current compass heading parameters callback callbackheadingresponse optional function invoke success failure obtaining current heading returns void getcurrentposition callback void retrieves last known location device android radios turned update location cached location used ios radios may used location old parameters callback callbacklocationresults optional function invoke success failure obtaining current location returns void code,5
1033,TIMOB-18724,windows crashes firing onreadystatechange gced,running mocha tests seeing bad behavior fire requests tests continue eventually later test typically layout suite well get error stemming firing onreadystatechange callback code unhandled exception xbdc haldll nmochaexe access violation reading location xdddddddd code titaniumkit testing callback function issue likely weve long moved test generated thinking maybe gced didnt properly cancel clean destructor request continuing async chain best guess need cancel outstanding requests windows impl desturctor hits null callback objects titaniumkit destructor,5
1034,TIMOB-18728,android date picker cant select date year,android date picker cant select date year hsteps reproduce run following code classic mobile project codetitleappjs tiuibackgroundcolor white var win tiuicreatewindow exitonclose true layout vertical var picker tiuicreatepicker typetiuipickertypedate mindatenew date maxdatenew date valuenew date top accessablitylabel data picker winaddpicker winopen pickeraddeventlistenerchangefunctione tiapiinfouser selected date evaluetolocalestring code hexpect result date available select max value hactual result date available matter max value set huse case thailand buddhist year behind gregorian year need select date hnb happened android device ios works well,5
1035,TIMOB-18729,windows destructor label module classes cause crashes related stdunorderedmap fields,running tiluilayouttest section mocha tests tests close window opened causing run destruct number objects label module classes crashing destruction specifically clear called stdunorderedmap fields access violation thrown address used xdddddddd signifies freed memory somehow map internal nodes whose values already freed,5
1036,TIMOB-18730,ios documentviewer unbalanced calls beginend appearance transitions qlremotepreviewcontentcontroller,hissue description get following message loading pdf documentviewer component unbalanced calls beginend appearance transitions qlremotepreviewcontentcontroller xde getting message sometimes associated app freezing generally app goes okay anyway hsample code code var doc var win tiuicreatewindow winopen var file tifilesystemgetfiletifilesystemapplicationdatadirectory documentpdf client tinetworkcreate onload function open doc viewer var docviewer tiuiioscreatedocumentviewer url filenativepath docviewershow animated true onerror functione alerterror clientopenget doc clientfile file clientsend code hconsole output code start simulator log info application started debug reading stylesheet usersegomezlibrarydevelopercoresimulatordevicesdddfedbfcbaaffdatacontainersbundleapplicationaecaafafaftableviewreproappstylesheetplist debug tableviewrepro youve implemented uiapplicationdelegate applicationperformfetchwithcompletionhandler still need add fetch list supported uibackgroundmodes infoplist debug tableviewrepro youve implemented uiapplicationdelegate applicationdidreceiveremotenotificationfetchcompletionhandler still need add remotenotification list supported uibackgroundmodes infoplist info tableviewrepro debug loading usersegomezlibrarydevelopercoresimulatordevicesdddfedbfcbaaffdatacontainersbundleapplicationaecaafafaftableviewreproappappjs resource appjs debug application booted debug tableviewrepro unbalanced calls beginend appearance transitions qlremotepreviewcontentcontroller xfe code,5
1037,TIMOB-18732,add mocha tests tableview listview switch,add mocha test titaniumuitableview add mocha test titaniumuilistview add mocha test titaniumuiswitch,8
1038,TIMOB-18733,mocha test result sometimes doesnt display end tests,mocha test result screen either red green sometimes doesnt display end testing usually happens testing tiuilayouttest,1
1039,TIMOB-18734,windows way navigate back directory profile corporate directory app,navigate directory individual profile user theres way navigate back could hook back hardware button back window could implement something similar navigationgroupwindow timob,8
1040,TIMOB-18739,windows listview section headers labels arent visible,see space headersgroupings theres nothing visible,5
1041,TIMOB-18740,windows search header isnt visible directory listing,search bartextfield isnt visible directory header need able filter list,5
1042,TIMOB-18743,windows implement tiuilistviewsearchtext property filtering,setting listviews searchtext property nothing right filter items based search text unfortunately windows doesnt make easy looks like need filter collections hood,5
1043,TIMOB-18745,windows use pivot pivotitem tab tabgroup proxies,currently implement tab tabgroup elements titaniumkit works typical look feel windows app equivalent seems pivot pivotitem,13
1044,TIMOB-18746,windows implement tilocale module,,13
